,open_close_diff,pos_neg,close_low_diff,sentiment_1,sentiment_2,s1_no_0,s2_no_0,s1_scaled,s2_scaled
2018-07-20,1.0,1.0,-8.520019999999988,0.13154385964912266,0.056771318327082765,0.17369884169884148,0.11421053451683708,0.4556186908471747,0.3784467157613279
2018-07-23,-11.739991000000032,-1.0,-20.720002000000022,0.07471772526418634,0.05022792804818993,0.10618390079413732,0.08892483532162937,0.27042286277769595,0.4556186908471747
2018-07-24,1.220000999999968,1.0,-10.65002400000003,0.11212063492063463,0.011598356292233849,0.14373604651162752,0.022433662828399682,0.3923185873594836,0.27042286277769595
2018-07-25,-0.690003000000047,-1.0,-2.9299930000000245,-0.009518407960199031,0.07142357632003157,-0.011883229813664627,0.12933458414708418,-0.004101889164543248,0.3923185873594836
2018-07-26,-3.88998399999997,-1.0,-5.099974999999972,0.07628150470219437,0.07721074778665457,0.0985174089068826,0.11728680259020385,0.2755192049990083,-0.004101889164543248
2018-07-27,0.6000060000000076,1.0,-11.309998000000007,0.0727828358208955,0.05142359428506816,0.08746995515695065,0.08403367846584309,0.2641170766011136,0.2755192049990083
2018-07-30,-1.279999000000032,-1.0,-11.049988000000042,0.0536943726372788,0.057696212421255326,0.06890415782526688,0.08425469341355873,0.20190795778410756,0.2641170766011136
2018-07-31,2.079987000000017,1.0,-1.1000060000000076,0.0891910714285715,0.022054262701584136,0.12917327586206906,0.034148535796001245,0.3175913594009689,0.20190795778410756
2018-08-01,-0.15002500000002783,-1.0,-5.140015000000005,0.07604615384615382,0.01207082159463112,0.11101925133689837,0.02153813264924376,0.2747521988117487,0.3175913594009689
2018-08-02,27.600006000000008,1.0,22.32000800000003,0.10621907756813408,0.06523033116429346,0.16832724252491682,0.13296952121952127,0.37308546843233054,0.2747521988117487
2018-08-03,-1.7300109999999904,-1.0,-7.010009999999966,0.1216465476190476,0.04235847574926024,0.1906401119402985,0.08391773497494953,0.4233634456697438,0.37308546843233054
2018-08-06,-2.710021999999981,-1.0,-6.350006000000008,0.08317718995394364,0.05775727119049317,0.11092044493408283,0.09664776585922624,0.2979921772348732,0.4233634456697438
2018-08-07,1.8500060000000076,1.0,-2.839995999999985,0.11852556818181825,0.06267852360181908,0.16297265625000007,0.09116876160264596,0.4131922035551521,0.2979921772348732
2018-08-08,-10.48001099999999,-1.0,-12.450011999999958,0.14921677243880327,0.05072923108637392,0.23181140845070425,0.10100061712684193,0.5132145444787777,0.4131922035551521
2018-08-09,-4.790008,-1.0,-24.609984999999995,0.0876572898799313,0.03627281803858468,0.1381194594594593,0.07292087212584436,0.3125927800139922,0.5132145444787777
2018-08-10,1.5499879999999848,1.0,-6.450012000000015,0.07957467248908287,0.05466559977504312,0.1304720763723149,0.08713519036068358,0.28625160729709986,0.3125927800139922
